Story ID,Phase,Epic,Summary,Story,Acceptance Criteria,Story Points,Suggested Sprint
S2.1,Phase 2,E2.1 Rollback netcode,Input timeline buffer,"As a developer, I can buffer local and remote inputs by frame id.","Input buffer supports lookup by frame for both players; Late input replacement path is implemented; Unit tests cover missing and out-of-order packets",3,Done
S2.2,Phase 2,E2.1 Rollback netcode,Prediction and rollback resimulation,"As a player, gameplay remains responsive while waiting for remote input.","Local prediction uses last known remote input; Rollback occurs when authoritative remote input differs; Resimulation completes within target frame budget on baseline hardware",8,Done
S2.3,Phase 2,E2.1 Rollback netcode,Match synchronisation diagnostics,"As QA, I can inspect rollback count, max rollback depth, and desync events.","Per-match diagnostics are emitted and stored; In-game debug overlay shows rollback metrics in dev builds; Desync event includes frame id and checksums",3,Done
S2.4,Phase 2,E2.2 Matchmaking and sessions,Queue service with region buckets,"As a player, I am matched by queue and region.","Queues exist for unranked and ranked; Region preferences are applied; Match start payload contains session token and peer metadata",5,Done
S2.5,Phase 2,E2.2 Matchmaking and sessions,Session and reconnect flow,"As a player, I can reconnect during short disconnects.","Session tokens have expiry and replay protection; Reconnect grace window is configurable; Match resolves if reconnect fails after timeout",5,Done
S2.6,Phase 2,E2.2 Matchmaking and sessions,NAT traversal support,"As a player, I can connect in restrictive home network conditions.","STUN and TURN are configured; Connection fallback to relay is automatic; Telemetry tracks direct vs relay usage by region",3,Done
S2.10,Phase 2,E2.4 Custom rooms and private lobbies,Private room lifecycle,"As a player, I can create a private room and invite another player directly.","Room codes are generated server-side and expire after configurable idle timeout; Host can start and close room sessions; Invite path works for both web and Steam friend flows",5,Done
S2.11,Phase 2,E2.4 Custom rooms and private lobbies,Room join and spectator permissions,"As a player, I can join by room code and follow room access rules.","Join by code validates region and version compatibility; Host can lock room and control spectator allowance; Join failures return clear recovery messages",3,Done
S2.12,Phase 2,E2.4 Custom rooms and private lobbies,Room rematch and character select flow,"As a room participant, I can rematch without re-creating the room.","Character select and ready checks run per rematch; Rematch keeps room membership while resetting match state; Room history stores match ids and outcomes for audit",5,Done
S2.13,Phase 2,E2.5 Replay archive and review,Compact replay payload format,"As a platform engineer, I can store replays in a low-weight format that stays deterministic.","Replay payload stores seed, ruleset version, and frame input timeline rather than full-frame world snapshots; Payload schema has explicit versioning so old replays fail gracefully instead of crashing; Median replay payload size target is defined and measured in CI fixtures",5,Done
S2.14,Phase 2,E2.5 Replay archive and review,Replay ingest and persistence,"As an operator, I can persist completed matches as searchable replay records.","Match metadata is stored in PostgreSQL and replay payload blobs are stored in object storage; Metadata includes both players, characters, match type, patch version, outcome, and duration; Replay retention policy and deletion flow are documented",5,Done
S2.15,Phase 2,E2.5 Replay archive and review,Replay search API with player filters,"As a player, I can search replay history by player and matchup criteria.","API supports filters for player id, opponent id, character, matchup, queue type, date range, and patch version; Search is paginated and index-backed; API returns replay summaries plus a stable replay id for playback",3,Done
S2.16,Phase 2,E2.5 Replay archive and review,Replay review viewer with inputs and frame data,"As a competitive player, I can review replays with both input history and frame-data overlays.","Replay viewer shows both players' inputs on the timeline; Frame-data overlay shows startup, active, recovery, hit or block outcomes, and advantage markers from replay events; Playback supports pause, frame-step, speed controls, and jump-to-round",5,Done
S2.7,Phase 2,E2.3 Ranked and progression,Rating engine service,"As a player, I receive consistent rating updates after ranked matches.","Rating service applies an Elo-like model consistently; Pre and post ratings are stored with each match result; Draw and forfeit cases are covered by tests",5,Done
S2.8,Phase 2,E2.3 Ranked and progression,Season model and leaderboard API,"As a player, I can view season rank and leaderboard position.","Seasons have start and end windows; Leaderboard API supports pagination and region filters; Season reset job archives previous season standings",3,Done
S2.9,Phase 2,E2.3 Ranked and progression,Match result validation,"As an operator, I can trust ranked results against basic tampering.","Result submission requires valid session token; Server verifies expected participants and match id; Suspicious submissions are flagged for review",5,Done
S2.17,Phase 2,E2.3 Ranked and progression,League ladder model (Iron to Platinum),"As a ranked player, I can progress through leagues from Iron to Platinum with transparent promotion rules.","League tiers include Iron, Bronze, Silver, Gold, and Platinum; Elo-like league points define promotion and demotion thresholds; Placement flow assigns initial league after calibration matches",5,Done
S2.18,Phase 2,E2.3 Ranked and progression,Master rating (MR) track,"As a top ranked player, I can enter a Master rating track with MR-style points.","Players reaching configured threshold can enter Master track; MR points update each match with queue-appropriate weighting; Master leaderboard API and season reset rules are defined",5,Done
S2.19,Phase 2,E2.3 Ranked and progression,Ranked matchmaking uses league and MR,"As a player, I get ranked opponents based on league and rating proximity.","Matchmaking search uses league bands plus rating window expansion over time; Master-track matchmaking uses MR bands with region latency constraints; Queue diagnostics capture expected rating gap and final matched gap",3,Done
S2.20,Phase 2,E2.3 Ranked and progression,Ranked progression UX and anti-smurf rules,"As a player, I can understand progression and protections against obvious smurfing.","Ranked UI shows current league, points to next promotion, and recent trend; Placement and provisional periods are clearly labelled; Anti-smurf heuristics and escalation policy are documented for operations",3,Done
S2.21,Phase 2,E2.7 Online Dev UI and test harness,Online dev menu shell and feature gating,"As a developer, I can open one in-game Online Dev menu to test backend flows quickly.","Online Dev menu is available in web dev builds behind feature flag; Menu supports keyboard and controller navigation; Menu sections are split by matchmaking, rooms, replay, and ranked",3,Done
S2.22,Phase 2,E2.7 Online Dev UI and test harness,Matchmaking queue test panel,"As a developer, I can test queue join and leave and session polling from the client UI.","Panel supports region and queue selection and join/leave actions; Ticket and session state updates are shown live with clear error messages; Reconnect token and grace state are visible for debugging",5,Done
S2.23,Phase 2,E2.7 Online Dev UI and test harness,Private room and lobby test panel,"As a developer, I can create and manage private rooms and rematches without API tooling.","Panel supports create room, join by code, lock toggle, spectator toggle, start, rematch, and close; Invite payload preview is available for web and Steam formats; Room history and active phase are visible",5,Done
S2.24,Phase 2,E2.7 Online Dev UI and test harness,Replay search and playback integration UI,"As a player, I can search my replay archive and launch replay review from in-game UI.","Replay search form supports player, opponent, character, matchup, queue, date, and patch filters; Results list is cursor-paginated with clear loading and error states; Selecting a result loads replay payload and opens replay review viewer",5,Done
S2.25,Phase 2,E2.7 Online Dev UI and test harness,Ranked progression dev panel,"As a developer, I can inspect rating, league, and season fields in one UI while testing ranked flow.","Panel shows current rating, league tier, league points, MR points, and provisional state; Recent match result deltas are shown with pre and post values; Panel gracefully handles missing ranked data while APIs are incomplete",3,Done
S2.26,Phase 2,E2.7 Online Dev UI and test harness,Online diagnostics overlay and export,"As QA, I can capture an online test report without opening browser dev tools.","Overlay shows rollback counters, RTT, packet loss, relay or direct path, queue wait time, and session ids; Export button copies diagnostics JSON including build, ruleset, and account ids; Diagnostics collection can be toggled per environment flag",3,Done
S2.27,Phase 2,E2.8 Account and social platform services,Account lifecycle and sign-up flow (web-first, Steam-ready),"As a player, I can create an account and persist identity across sessions.","Web sign-up and sign-in flows exist with guest-to-account upgrade path; Account model supports linked platform identities without duplicate ownership; Recovery and error flows are documented for invalid, duplicate, and disabled accounts",5,Done
S2.28,Phase 2,E2.8 Account and social platform services,Steam identity link and account merge policy,"As a player, I can link Steam to an existing account or create one on first Steam sign-in.","Steam token exchange path links provider identity to internal account id; Merge policy exists for guest or web account linking into Steam-linked account; Audit events capture link, unlink, and merge operations",5,Backlog
S2.29,Phase 2,E2.8 Account and social platform services,Friends graph schema and API,"As a player, I can add, accept, remove, and list friends.","Friend request and friendship tables support pending, accepted, declined, cancelled, and blocked states; API supports send, accept, decline, remove, block, and list operations; Queries are index-backed for large friend lists",5,Done
S2.30,Phase 2,E2.8 Account and social platform services,Presence and friend invite service,"As a player, I can see friend status and send invites into rooms or queues.","Presence service exposes online status and current activity privacy-safe fields; Invite payload supports room code and platform-aware deep links for web and Steam; Presence and invite events are rate-limited and audited",3,Done
S2.31,Phase 2,E2.8 Account and social platform services,Client friends and account UI,"As a player, I can manage account identity and friends in-game.","UI supports sign-in state, linked identities, friend list, friend requests, and invite actions; UI is usable with keyboard and controller; Errors and empty states are explicit and actionable",5,Done
S2.32,Phase 2,E2.8 Account and social platform services,Privacy, moderation, and parental-safe social controls,"As an operator, I can enforce safe social interactions across platforms.","Block list and muted-player controls apply to friend requests and invites; Privacy settings support presence visibility and invite permissions; Moderation events are auditable with actor, reason, and timestamp",3,Done
S3.1,Phase 3,E3.1 Production hardening,SLOs and alerting,"As an operator, I can monitor reliability against defined service goals.","Availability, latency, and error SLOs are defined; Alerts are configured with escalation policy; Weekly SLO report is generated automatically",3,Done
S3.2,Phase 3,E3.1 Production hardening,Backup and disaster recovery drills,"As an operator, I can recover critical data within target windows.","Automated backups for Postgres and Redis are configured; Restore drill is run and documented; RPO and RTO targets are validated",5,Done
S3.3,Phase 3,E3.1 Production hardening,Safe deployment strategy,"As a developer, I can roll out releases with low player risk.","Canary or blue/green release path exists; Automatic rollback on key error thresholds; Schema migration workflow supports backward compatibility",5,Done
S3.4,Phase 3,E3.2 Integrity and trust upgrades,Ranked anomaly detection,"As an operator, I can detect suspicious ranked behaviour automatically.","Anomaly rules exist for impossible match cadence and rating jumps; Alerts include account and match references; False positive review flow is documented",3,Done
S3.5,Phase 3,E3.2 Integrity and trust upgrades,Enforcement tooling,"As support, I can apply temporary and permanent sanctions.","Admin panel supports warning, suspension, and ban actions; All actions are auditable with actor identity; Appeal status can be tracked",3,Done
S3.6,Phase 3,E3.3 Console readiness (far future),Platform compliance gap audit,"As a producer, I can identify major gaps before console onboarding.","Checklist covers save rules, entitlement checks, suspend or resume, and privacy; Gap report is prioritised by risk and effort; Report is reviewed with engineering and production",2,Done
S3.7,Phase 3,E3.3 Console readiness (far future),Console-safe persistence abstraction,"As a developer, I can swap persistence implementation per platform without gameplay code changes.","Persistence adapter interface is platform agnostic; Web and Steam implementations pass shared test suite; Unsupported operations fail safely",3,Done
